food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,ML_Cluster,Category
carrot juice,80,0.3,0.055,0.027,0.1,18.6,7.8,1.9,1.6,0.0,0.1,177.7,0.0,0.2,0.077,0.0,0.1,0.8,0.5,0.4,17.0,0.0,2.3,0.047,48.0,0.087,0.9,28.0,0.3,84.0,584.0,0.046,0.4,88.3,0,Low-Cal Carb/Veggie
acorn dried,144,8.9,1.2,5.6,1.7,15.2,0.0,2.3,0.0,0.0,0.0,1.4,0.0,0.005,0.085,0.0,0.021,0.7,0.3,0.2,0.0,0.0,0.0,0.0,15.3,0.2,0.3,23.2,0.4,29.1,200.6,0.0,0.2,42.0,0,Low-Cal Carb/Veggie
fenugreek seeds,36,0.7,0.2,0.0,0.0,6.5,0.0,2.6,2.7,0.0,0.09,1.0,0.0,0.036,0.046,0.0,0.019,0.2,0.0,0.064,0.3,0.0,0.0,0.0,19.5,0.1,3.7,21.2,0.1,32.9,85.5,0.025,0.3,36.0,0,Low-Cal Carb/Veggie
beechnuts dried,173,15.0,1.7,6.6,6.0,10.1,0.0,1.9,0.0,0.0,0.068,2.0,0.0,0.053,0.087,0.0,0.1,0.3,0.3,0.2,4.7,0.0,0.0,0.0,0.3,0.2,0.7,0.0,0.4,0.0,305.1,0.0,0.1,32.7,0,Low-Cal Carb/Veggie
breadnut tree seeds raw,61,0.3,0.089,0.061,0.1,13.1,0.0,1.7,0.0,0.0,0.084,12.7,0.0,0.04,0.077,0.0,0.053,0.2,0.3,0.1,7.8,0.0,0.0,0.0,27.7,0.4,0.6,19.2,0.015,19.0,334.8,0.0,0.3,51.2,0,Low-Cal Carb/Veggie
cumin seeds,8,0.5,0.096,0.3,0.013,0.9,0.063,0.4,0.2,0.0,0.073,0.2,0.0,0.079,0.015,0.0,0.093,0.064,0.0,0.021,0.2,0.0,0.096,0.001,19.6,0.058,1.4,7.7,0.087,10.5,37.5,0.072,0.1,23.2,0,Low-Cal Carb/Veggie
pili nuts dried,863,95.5,37.4,44.7,9.1,4.8,0.0,13.0,0.0,0.0,0.014,3.3,0.0,1.1,0.066,0.0,0.1,0.6,0.6,0.1,0.7,0.0,0.0,0.0,174.0,1.1,4.2,362.4,2.8,690.0,608.4,0.0,3.6,292.2,3,High Protein
hazelnuts roasted,194,18.7,1.4,14.0,2.5,5.3,1.5,4.5,2.8,0.0,0.0,0.8,0.0,0.1,0.031,0.0,0.074,0.6,0.3,0.2,1.1,0.0,4.6,0.0,36.9,0.5,1.3,51.9,1.7,93.0,226.5,0.061,0.8,70.6,0,Low-Cal Carb/Veggie
lupins cooked,193,4.8,0.6,2.0,1.2,15.4,0.0,25.8,4.6,0.0,0.4,118.0,0.0,0.2,0.083,0.0,0.071,0.8,0.3,0.016,1.8,0.0,0.0,0.0,84.7,0.4,2.0,89.6,1.1,212.5,406.7,0.084,2.3,139.1,0,Low-Cal Carb/Veggie
hazelnuts blanched,178,17.3,1.3,13.6,1.6,4.8,1.0,3.9,3.1,0.0,0.0,1.6,0.0,0.1,0.021,0.0,0.049,0.4,0.2,0.2,0.6,0.0,5.0,0.0,42.2,0.5,0.9,45.3,3.6,87.7,186.2,0.015,0.6,72.8,0,Low-Cal Carb/Veggie
brazilnuts dried,33,3.3,0.8,1.2,1.0,0.6,0.1,0.7,0.4,0.0,0.073,0.2,0.0,0.079,0.035,0.0,0.013,0.083,0.051,0.041,0.024,0.0,0.3,0.0,8.0,0.074,0.1,18.8,0.084,36.3,33.0,0.035,0.2,13.139,0,Low-Cal Carb/Veggie
sunflower seeds dry roasted,47,4.0,0.4,0.8,2.6,1.9,0.2,1.5,0.9,0.0,0.067,0.076,0.0,0.087,0.072,0.0,0.086,0.6,0.6,0.01,0.1,0.0,2.1,0.037,5.6,0.1,0.3,10.3,0.2,92.4,68.0,0.021,0.4,14.3,0,Low-Cal Carb/Veggie
ginkgo nuts canned,172,2.5,0.5,0.9,0.9,34.3,0.0,3.5,14.4,0.0,0.5,113.1,0.0,0.2,0.06,0.0,0.052,5.6,0.2,0.3,14.1,0.0,0.0,0.0,6.2,0.3,0.4,24.8,0.1,83.7,279.0,0.067,0.3,75.4,1,High Carb
peanuts cooked,572,39.6,5.5,19.7,12.5,38.3,4.4,24.3,15.8,0.0,1.4,75.2,0.0,0.5,0.1,0.0,0.1,9.5,1.5,0.3,0.0,0.0,7.4,0.0,99.0,0.9,1.8,183.6,1.8,356.4,324.0,0.027,3.3,218.8,1,High Carb
pumpkin squash seeds dried,721,63.3,11.2,21.0,27.1,13.8,1.8,39.0,7.7,0.0,0.013,6.7,0.0,0.4,0.024,0.0,0.2,6.4,1.0,0.2,2.5,0.0,2.8,0.03,59.3,1.7,11.4,763.7,5.9,1590.6,1043.6,0.078,10.1,197.0,3,High Protein
cashew nuts raw,156,12.4,2.2,6.7,2.2,8.5,1.7,5.2,0.9,0.0,0.02,1.5,0.0,0.1,0.076,0.0,0.071,0.3,0.2,0.1,0.1,0.0,0.3,0.04,10.5,0.6,1.9,82.6,0.5,167.8,186.8,0.039,1.6,39.5,0,Low-Cal Carb/Veggie
sunflower seeds dried,269,23.7,2.0,8.5,10.6,9.2,1.2,9.6,4.0,0.0,0.014,2.2,0.0,0.7,0.1,0.0,0.2,3.8,0.5,0.6,0.6,0.0,16.2,0.0,35.9,0.8,2.4,149.5,0.9,303.6,296.7,0.077,2.3,85.4,0,Low-Cal Carb/Veggie
lotus seeds dried,106,0.6,0.1,0.1,0.4,20.6,0.0,4.9,0.0,0.0,0.024,4.5,0.0,0.2,0.019,0.0,0.059,0.5,0.3,0.2,0.0,0.0,0.0,0.0,52.2,0.1,1.1,67.2,0.7,200.3,437.8,0.0,0.3,79.4,0,Low-Cal Carb/Veggie
butternuts dried,734,68.4,1.6,12.5,51.3,14.5,0.0,29.9,5.6,0.0,0.062,4.0,0.0,0.5,0.088,0.0,0.2,1.3,0.8,0.7,3.8,0.0,0.0,0.0,63.6,0.5,4.8,284.4,7.9,535.2,505.2,0.028,3.8,190.6,3,High Protein
sesame seeds dried,52,4.5,0.6,1.7,2.0,2.1,0.031,1.6,1.1,0.0,0.049,0.4,0.0,0.037,0.05,0.0,0.057,0.4,0.082,0.096,0.0,0.0,0.099,0.0,87.8,0.4,1.3,31.6,0.2,56.6,42.1,0.047,0.7,98.4,0,Low-Cal Carb/Veggie
breadfruit seeds,57,1.7,0.5,0.2,0.9,8.8,0.0,2.2,1.6,0.0,0.04,16.9,0.0,0.1,0.095,0.0,0.066,0.1,0.3,0.024,2.0,0.0,0.0,0.0,10.8,0.3,1.1,16.2,0.049,52.5,282.3,0.0,0.3,28.2,0,Low-Cal Carb/Veggie
pinyon pine nuts dried,1,0.073,0.022,0.044,0.074,0.01,0.0,0.083,0.005,0.0,0.07,0.045,0.0,0.02,0.066,0.0,0.04,0.027,0.0,0.048,0.004,0.0,0.0,0.0,0.022,0.078,0.007,0.2,0.012,0.098,0.6,0.0,0.049,0.359,0,Low-Cal Carb/Veggie
pine nuts dried,909,92.3,6.6,25.3,46.0,17.7,4.8,18.5,5.0,0.0,0.086,3.1,0.0,0.5,0.018,0.0,0.3,5.9,0.4,0.1,1.1,0.0,12.6,0.002,21.6,1.8,7.5,338.9,11.9,776.3,806.0,0.061,8.7,163.7,3,High Protein
flaxseeds,55,4.3,0.4,0.8,3.0,3.0,0.2,1.9,2.8,0.0,0.035,0.7,0.0,0.2,0.015,0.0,0.095,0.3,0.1,0.056,0.023,0.0,0.042,0.053,26.3,0.1,0.6,40.4,0.3,66.1,83.7,0.05,0.4,38.994,0,Low-Cal Carb/Veggie
safflower seed kernels dried,146,10.9,1.0,1.4,8.0,9.7,0.0,4.6,0.0,0.0,0.042,1.6,0.0,0.3,0.055,0.0,0.1,0.6,1.1,0.3,0.0,0.0,0.0,0.0,22.1,0.5,1.4,99.9,0.6,182.3,194.4,0.0,1.4,48.7,0,Low-Cal Carb/Veggie
pistachio nuts raw,691,55.8,6.8,29.3,16.9,33.8,9.4,24.9,12.7,0.0,0.037,4.8,0.0,1.1,0.087,0.0,0.2,1.6,0.6,2.1,6.9,0.0,2.8,0.0,129.2,1.6,4.8,148.8,1.5,602.7,1260.8,0.078,2.7,268.1,1,High Carb
peanuts raw,828,71.9,10.0,35.7,22.7,23.5,5.8,37.7,12.4,0.0,0.038,9.5,0.0,0.9,0.4,0.0,0.2,17.6,2.6,0.5,0.0,0.0,12.2,0.0,134.3,1.7,6.7,245.3,2.8,549.0,1029.3,0.032,4.8,286.5,3,High Protein
poppy seeds,46,3.7,0.4,0.5,2.5,2.5,0.3,1.6,1.7,0.0,0.079,0.5,0.0,0.034,0.044,0.0,0.04,0.069,0.071,0.09,0.061,0.0,0.2,0.0,126.5,0.1,0.9,30.5,0.6,76.6,63.3,0.059,0.7,136.934,0,Low-Cal Carb/Veggie
valencia peanuts raw,832,69.5,10.7,31.3,24.1,30.5,0.0,36.6,12.7,0.0,0.094,6.2,0.0,0.9,0.4,0.0,0.4,18.8,2.6,0.5,0.0,0.0,0.0,0.0,90.5,1.7,3.1,268.6,2.9,490.6,484.7,0.056,4.9,242.9,3,High Protein
spanish peanuts,832,72.4,11.2,32.6,25.1,23.1,0.0,38.2,13.9,0.0,0.036,9.3,0.0,1.0,0.4,0.0,0.2,23.3,2.6,0.5,0.0,0.0,0.0,0.0,154.8,1.3,5.7,274.5,3.9,566.5,1086.2,0.077,3.1,308.1,3,High Protein
dill seeds,20,1.0,0.018,0.6,0.041,3.6,0.0,1.1,1.4,0.0,0.037,0.5,0.0,0.011,0.085,0.0,0.059,0.2,0.0,0.001,1.4,0.0,0.0,0.0,100.1,0.009,1.1,16.9,0.1,18.3,78.3,0.075,0.3,109.7,0,Low-Cal Carb/Veggie
caraway seeds,22,1.0,0.03,0.5,0.2,3.3,0.038,1.3,2.5,0.0,0.014,0.7,0.0,0.096,0.052,0.0,0.075,0.2,0.0,0.099,1.4,0.0,0.2,0.0,46.2,0.077,1.1,17.3,0.034,38.1,90.5,0.062,0.4,56.8,0,Low-Cal Carb/Veggie
acorn raw,110,6.8,0.9,4.3,1.3,11.5,0.0,1.7,0.0,0.0,0.0,7.9,0.0,0.016,0.06,0.0,0.045,0.5,0.2,0.1,0.0,0.0,0.0,0.0,11.6,0.2,0.2,17.5,0.4,22.4,152.5,0.0,0.1,31.8,0,Low-Cal Carb/Veggie
almonds roasted,182,16.6,1.3,10.4,4.1,5.3,1.4,6.4,3.2,0.0,0.029,0.8,0.0,0.055,0.032,0.0,0.2,1.1,0.049,0.065,0.0,0.0,7.8,0.0,87.3,0.3,1.1,82.2,0.7,139.8,209.7,0.017,0.9,119.9,0,Low-Cal Carb/Veggie
lotus seeds raw,25,0.1,0.097,0.011,0.002,4.9,0.0,1.2,0.0,0.0,0.02,21.8,0.0,0.073,0.052,0.0,0.07,0.1,0.088,0.074,0.0,0.0,0.0,0.0,12.5,0.079,0.3,15.8,0.2,47.5,103.9,0.0,0.043,19.0,0,Low-Cal Carb/Veggie
chestnuts cooked,37,0.4,0.016,0.1,0.2,7.9,0.0,0.6,0.0,0.0,0.046,19.3,0.0,0.095,0.099,0.0,0.053,0.2,0.046,0.021,7.6,0.0,0.0,0.0,13.0,0.1,0.5,15.3,0.2,28.0,202.3,0.0,0.02,30.0,0,Low-Cal Carb/Veggie
alfalfa seeds,1,0.075,0.029,0.067,0.057,0.002,0.058,0.1,0.015,0.0,0.048,2.8,0.0,0.065,0.008,0.0,0.078,0.02,0.051,0.021,0.2,0.0,0.036,0.042,1.0,0.048,0.034,0.8,0.024,2.1,2.4,0.076,0.071,1.435,0,Low-Cal Carb/Veggie
